timestamp,building_id,y_true,y_pred,over_flag,under_flag,anomaly_point
2025-10-02 08:15:00+00:00,1151,67.00000000000728,81.16508260287974,0,0,0
2025-10-02 08:30:00+00:00,1151,72.00000000011642,74.05658043399981,0,0,0
2025-10-02 08:45:00+00:00,1151,65.99999999980355,69.50779673175768,0,0,0
2025-10-02 09:00:00+00:00,1151,57.99999999999272,60.53150259028314,0,0,0
2025-10-02 09:15:00+00:00,1151,59.00000000019645,56.91777557444095,0,0,0
2025-10-02 09:30:00+00:00,1151,54.00000000008731,56.81042739637688,0,0,0
2025-10-02 09:45:00+00:00,1151,51.99999999967986,54.272891566843526,0,0,0
2025-10-02 10:00:00+00:00,1151,50.0000000001819,50.52637051040142,0,0,0
2025-10-02 10:15:00+00:00,1151,47.999999999774445,51.53951909970692,0,0,0
2025-10-02 10:30:00+00:00,1151,46.000000000276486,48.53702339048644,0,0,0
2025-10-02 10:45:00+00:00,1151,43.99999999986903,42.993141643677845,0,0,0
2025-10-02 11:00:00+00:00,1151,41.00000000016735,42.16004417057971,0,0,0
2025-10-02 11:15:00+00:00,1151,39.99999999996362,39.83005478454224,0,0,0
2025-10-02 11:30:00+00:00,1151,38.000000000010914,38.76229028097856,0,0,0
2025-10-02 11:45:00+00:00,1151,36.00000000005821,39.48043864848334,0,0,0
2025-10-02 12:00:00+00:00,1151,34.0000000001055,36.52683162758601,0,0,0
2025-10-02 12:15:00+00:00,1151,35.99999999960346,35.66755870903037,0,0,0
2025-10-02 12:30:00+00:00,1151,34.0000000001055,36.212641716802665,0,0,0
2025-10-02 12:45:00+00:00,1151,32.999999999901775,32.0531352731266,0,0,0
2025-10-02 13:00:00+00:00,1151,32.000000000152795,31.51242976288425,0,0,0
2025-10-02 13:15:00+00:00,1151,30.99999999994907,32.01898084353495,0,0,0
2025-10-02 13:30:00+00:00,1151,32.999999999901775,31.08928327532318,0,0,0
2025-10-02 13:45:00+00:00,1151,32.000000000152795,31.237294094268695,0,0,0
